Recording	Participant	age_group	gender	Timeline	TOI	Interval	Media	calorie	AOI	product_attributes	purchase_decision	Last_key_press	Total_duration_of_fixations	Average_duration_of_fixations	Minimum_duration_of_fixations	Maximum_duration_of_fixations	Number_of_fixations	Time_to_first_fixation	Duration_of_first_fixation	Last_AOI_viewed	AOI_at_interval_end	Average_pupil_diameter	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Minimum_duration_of_whole_fixations	Maximum_duration_of_whole_fixations	Number_of_whole_fixations	Time_to_first_whole_fixation	Duration_of_first_whole_fixation	Average_whole-fixation_pupil_diameter	Total_duration_of_Visit	Average_duration_of_Visit	Minimum_duration_of_Visit	Maximum_duration_of_Visit	Number_of_Visits	Time_to_first_Visit	Duration_of_first_Visit	Total_duration_of_Glances	Average_duration_of_Glances	Minimum_duration_of_Glances	Maximum_duration_of_Glances	Number_of_Glances	Time_to_first_Glance	Duration_of_first_Glance	Number_of_mouse_clicks	Time_to_first_mouse_click	Time_from_first_fixation_to_mouse_click	Number_of_mouse_clicks_and_releases	Time_to_first_mouse_click_and_release	Time_from_first_fixation_to_mouse_click_and_release	Number_of_saccades_in_AOI	Time_to_entry_saccade	Time_to_exit_saccade	Peak_velocity_of_entry_saccade	Character_index	Word_index	Sentence_index	AOI_string	Text_unit_type	Number_of_units	First-pass_first_fixation_duration	First-pass_duration	Selective_regression-path_duration	First-pass_regression	Total_duration_of_fixations	Regression-path_duration	Re-reading_duration
Recording2	P2	33-45	female	Timeline1	cake	1	cake	high	Nutrition	specifications			1300	108	67	183	12	4190	116	name	name	2.81773	1300	108	67	183	12	4190	116	2.81773	2467	1233	1083	1383	2	4190	1083	2600	1300	1166	1433	2	4107	1166	0			0			6	4107		360.11													
Recording2	P2	33-45	female	Timeline1	cake	1	cake	high	picture	Picture			1457	182	100	333	8	0	324	name	name	3.06901	1133	162	100	333	7	957	117	3.08465	2041	1020	324	1717	2	0	324	2091	1045	324	1767	2	0	324	0			0			2		324														
Recording2	P2	33-45	female	Timeline1	cake	1	cake	high	price	specifications			0				0			name	name		0				0				0				0			0				0			0			0			0																
Recording2	P2	33-45	female	Timeline1	cereal	1	cereal	low	buy		buy		417	104	83	150	4	5856	150	name	name	2.63221	417	104	83	150	4	5856	150	2.63221	701	701	701	701	1	5856	701	717	717	717	717	1	5839	717	1	6832	976	0			1																
Recording2	P2	33-45	female	Timeline1	cereal	1	cereal	low	ingredients	specifications			83	83	83	83	1	1923	83	name	name	2.64098	83	83	83	83	1	1923	83	2.64098	83	83	83	83	1	1923	83	117	117	117	117	1	1890	117	0			0			0	1890	2007	38.98													
Recording2	P2	33-45	female	Timeline1	cereal	1	cereal	low	name	name			876	125	10	233	7	473	233	name	name	2.70263	866	144	67	233	6	473	233	2.70163	893	149	10	233	6	473	233	1110	185	27	317	6	456	250	0			0			1	456	706	47.96													
Recording2	P2	33-45	female	Timeline1	cereal	1	cereal	low	not-buy		not-buy		0				0			name	name		0				0				0				0			0				0			0			0			0																
Recording2	P2	33-45	female	Timeline1	cereal	1	cereal	low	Nutrition	specifications			566	142	117	166	4	3390	166	name	name	2.68287	566	142	117	166	4	3390	166	2.68287	1016	1016	1016	1016	1	3390	1016	1033	1033	1033	1033	1	3373	1033	0			0			1		4406														
Recording2	P2	33-45	female	Timeline1	cereal	1	cereal	low	picture	Picture			883	126	67	300	7	6	83	name	name	2.57666	883	126	67	300	7	6	83	2.57666	1133	378	183	650	3	6	183	1240	413	189	667	3	0	189	0			0			3	4406	4789	311.41													
Recording2	P2	33-45	female	Timeline1	cereal	1	cereal	low	price	specifications			67	67	67	67	1	2440	67	name	name	2.65322	67	67	67	67	1	2440	67	2.65322	67	67	67	67	1	2440	67	100	100	100	100	1	2407	100	0			0			0	2407	2507	55.78													
Recording2	P2	33-45	female	Timeline1	date	1	date	low	buy		buy		117	117	117	117	1	6944	117	picture	picture	2.75877	117	117	117	117	1	6944	117	2.75877	117	117	117	117	1	6944	117	133	133	133	133	1	6927	133	1	7268	324	0			0																
Recording2	P2	33-45	female	Timeline1	date	1	date	low	ingredients	specifications			0				0			picture	picture		0				0				0				0			0				0			0			0			0																
Recording2	P2	33-45	female	Timeline1	date	1	date	low	name	name			1000	167	83	233	6	677	233	picture	picture	2.74569	1000	167	83	233	6	677	233	2.74569	1283	1283	1283	1283	1	677	1283	1300	1300	1300	1300	1	660	1300	0			0			3																
Recording2	P2	33-45	female	Timeline1	date	1	date	low	not-buy		not-buy		0				0			picture	picture		0				0				0				0			0				0			0			0			0																
