# timestamps [seconds],pts
329375.936878,1456016
329375.970388,1458213
329376.003899,1460409
329376.037409,1462605
329376.070920,1464801
329376.104430,1466997
329376.137940,1469193
329376.171451,1471389
329376.204961,1473585
329376.238472,1475781
329376.271982,1477978
329376.305492,1480174
329376.339003,1482370
329376.372513,1484566
329376.406024,1486762
329376.439534,1488958
329376.473044,1491154
329376.506555,1493350
329376.540065,1495546
329376.573576,1497742
329376.607086,1499939
329376.640596,1502135
329376.674107,1504331
329376.707617,1506527
329376.741128,1508723
329376.774638,1510919
329376.808148,1513115
329376.841659,1515311
329376.875169,1517507
329376.908680,1519704
329376.942190,1521900
329376.975700,1524096
329377.009211,1526292
329377.042721,1528488
329377.076232,1530684
329377.109742,1532880
329377.143252,1535076
329377.176763,1537272
329377.210273,1539468
329377.243784,1541665
329377.277294,1543861
329377.310804,1546057
329377.344315,1548253
329377.377825,1550449
329377.411336,1552645
329377.444846,1554841
329377.478356,1557037
329377.511867,1559233
329377.545377,1561429
329377.578888,1563626
329377.612398,1565822
329377.645908,1568018
329377.679419,1570214
329377.712929,1572410
329377.746440,1574606
329377.779950,1576802
329377.813460,1578998
329377.846971,1581194
329377.880481,1583391
329377.913992,1585587
329377.947502,1587783
329377.981012,1589979
329378.014523,1592175
329378.048033,1594371
329378.081544,1596567
329378.115054,1598763
329378.148564,1600959
329378.182075,1603155
329378.215585,1605352
329378.249096,1607548
329378.282606,1609744
329378.316116,1611940
329378.349627,1614136
329378.383137,1616332
329378.416648,1618528
329378.450158,1620724
329378.483668,1622920
329378.517179,1625117
329378.550689,1627313
329378.584200,1629509
329378.617710,1631705
329378.651220,1633901
329378.684731,1636097
329378.718241,1638293
329378.751752,1640489
329378.785262,1642685
329378.818772,1644881
329378.852283,1647078
329378.885793,1649274
329378.919304,1651470
329378.952814,1653666
329378.986324,1655862
329379.019835,1658058
329379.053345,1660254
329379.086856,1662450
329379.120366,1664646
329379.153876,1666842
329379.187387,1669039
329379.220897,1671235
329379.254408,1673431
329379.287918,1675627
329379.321428,1677823
329379.354939,1680019
329379.388449,1682215
329379.421960,1684411
329379.455470,1686607
329379.488980,1688803
329379.522491,1691000
329379.556001,1693196
329379.589512,1695392
329379.623022,1697588
329379.656532,1699784
329379.690043,1701980
329379.723553,1704176
329379.757064,1706372
329379.790574,1708568
329379.824084,1710765
329379.857595,1712961
329379.891105,1715157
329379.924616,1717353
329379.958126,1719549
329379.991636,1721745
329380.025147,1723941
329380.058657,1726137
329380.092168,1728333
329380.125678,1730529
329380.159188,1732726
329380.192699,1734922
329380.226209,1737118
329380.259720,1739314
329380.293230,1741510
329380.326740,1743706
329380.360251,1745902
329380.393761,1748098
329380.427272,1750294
329380.460782,1752491
329380.494292,1754687
329380.527803,1756883
329380.561313,1759079
329380.594824,1761275
329380.628334,1763471
329380.661844,1765667
329380.695355,1767863
329380.728865,1770059
329380.762376,1772255
329380.795886,1774452
329380.829396,1776648
329380.862907,1778844
329380.896417,1781040
329380.929928,1783236
329380.963438,1785432
329380.996948,1787628
329381.030459,1789824
329381.063969,1792020
329381.097480,1794217
329381.130990,1796413
329381.164500,1798609
329381.198011,1800805
329381.231521,1803001
329381.265032,1805197
329381.298542,1807393
329381.332052,1809589
