Recording	Participant	Timeline	TOI	Interval	Media	Food_Category	AOI	Decision	Product_element	Last_key_press	Total_duration_of_fixations	Average_duration_of_fixations	Minimum_duration_of_fixations	Maximum_duration_of_fixations	Number_of_fixations	Time_to_first_fixation	Duration_of_first_fixation	Last_AOI_viewed	AOI_at_interval_end	Average_pupil_diameter	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Minimum_duration_of_whole_fixations	Maximum_duration_of_whole_fixations	Number_of_whole_fixations	Time_to_first_whole_fixation	Duration_of_first_whole_fixation	Average_whole-fixation_pupil_diameter	Total_duration_of_Visit	Average_duration_of_Visit	Minimum_duration_of_Visit	Maximum_duration_of_Visit	Number_of_Visits	Time_to_first_Visit	Duration_of_first_Visit	Total_duration_of_Glances	Average_duration_of_Glances	Minimum_duration_of_Glances	Maximum_duration_of_Glances	Number_of_Glances	Time_to_first_Glance	Duration_of_first_Glance	Number_of_mouse_clicks	Time_to_first_mouse_click	Time_from_first_fixation_to_mouse_click	Number_of_mouse_clicks_and_releases	Time_to_first_mouse_click_and_release	Time_from_first_fixation_to_mouse_click_and_release	Number_of_saccades_in_AOI	Time_to_entry_saccade	Time_to_exit_saccade	Peak_velocity_of_entry_saccade	Character_index	Word_index	Sentence_index	AOI_string	Text_unit_type	Number_of_units	First-pass_first_fixation_duration	First-pass_duration	Selective_regression-path_duration	First-pass_regression	Total_duration_of_fixations	Regression-path_duration	Re-reading_duration
Recording1	Participant 1	Timeline1	Veggie crisps	1	Veggie crisps	Snack	Price		Price		711	356	115	596	2	5795	596	Price	Price		596	596	596	596	1	5795	596		711	356	115	596	2	5795	596	747	374	135	612	2	5779	612	0			0			0	5779	6391	60.75					Aggregated								
Recording2	Participant 2	Timeline1	Burger	1	Burger	Meal	I would buy	I would buy			0				0			Picture			0				0				0				0			0				0			0			0			0								Aggregated								
Recording2	Participant 2	Timeline1	Burger	1	Burger	Meal	I would not buy	I would not buy			792	396	224	568	2	1525	224	Picture		3.02014	792	396	224	568	2	1525	224	3.02014	808	808	808	808	1	1525	808	872	872	872	872	1	1461	872	1	2555	1030	0			1	1461	2333	322.93					Aggregated								
Recording2	Participant 2	Timeline1	Burger	1	Burger	Meal	Ingredients		Ingredients		0				0			Picture			0				0				0				0			0				0			0			0			0								Aggregated								
Recording2	Participant 2	Timeline1	Burger	1	Burger	Meal	Nutrition Label		Nutrition Label		0				0			Picture			0				0				0				0			0				0			0			0			0								Aggregated								
Recording2	Participant 2	Timeline1	Burger	1	Burger	Meal	Picture		Picture		765	191	128	260	4	0	205	Picture		3.09703	560	187	128	260	3	253	128	3.04099	813	271	172	381	3	0	381	925	308	240	381	3	0	381	0			0			1	1157	381	190.46					Aggregated								
Recording2	Participant 2	Timeline1	Burger	1	Burger	Meal	Price		Price		0				0			Picture			0				0				0				0			0				0			0			0			0								Aggregated								
Recording2	Participant 2	Timeline1	Cereals	1	Cereals	Meal	I would buy	I would buy			1083	541	268	815	2	12415	268	I would buy	I would buy		268	268	268	268	1	12415	268		1115	1115	1115	1115	1	12415	1115	1159	1159	1159	1159	1	12371	1159	1	13505	1090	0			1	12371		223.17					Aggregated								
Recording2	Participant 2	Timeline1	Cereals	1	Cereals	Meal	I would not buy	I would not buy			0				0			I would buy	I would buy		0				0				0				0			0				0			0			0			0								Aggregated								
Recording2	Participant 2	Timeline1	Cereals	1	Cereals	Meal	Ingredients		Ingredients		3652	304	116	748	12	1591	380	I would buy	I would buy		3652	304	116	748	12	1591	380		3876	3876	3876	3876	1	1591	3876	3944	3944	3944	3944	1	1523	3944	0			0			11	1523	5467	215.13					Aggregated								
